2015-08-03,molar
2015-06-21,molar
2015-10-26,molar
2017-01-30,premolar
2015-05-27,canine
2016-07-14,incisor
2016-01-21,premolar
2015-05-14,incisor
2016-03-07,incisor
2016-11-15,premolar
2016-12-09,canine
2015-12-05,molar
2015-12-25,molar
2015-10-18,canine
2016-06-13,canine
2016-10-10,premolar
2015-05-10,canine
2016-11-05,premolar
2016-09-28,incisor
2017-08-03,incisor
2017-06-15,molar
2016-08-12,incisor
2017-05-30,molar
2015-05-15,incisor
2015-10-15,incisor
2017-01-23,incisor
2016-05-07,canine
2015-10-26,canine
2015-07-26,molar
2016-09-09,premolar
2015-12-20,molar
2016-07-08,canine
2015-02-14,canine
2017-08-07,molar
2016-08-12,canine
2015-02-22,molar
2017-11-16,premolar
2015-05-19,incisor
2017-08-13,incisor
2015-05-10,molar
2015-07-05,molar
2016-09-17,canine
2016-11-07,incisor
2016-10-31,molar
2016-02-07,canine
2016-05-25,incisor
2017-11-12,canine
2015-09-05,molar
2017-09-30,premolar
2015-03-31,premolar
2016-04-17,incisor
2017-10-20,molar
2016-02-07,incisor
2015-02-25,incisor
2015-09-18,premolar
2017-11-26,premolar
2016-02-25,molar
2016-07-27,molar
2015-04-23,premolar
2015-03-20,premolar
2016-09-07,molar
2016-08-17,canine
2016-06-07,premolar
2017-12-08,incisor
2016-05-28,premolar
2016-10-26,premolar
2015-10-23,canine
2015-04-16,molar
2016-04-09,incisor
2015-12-09,canine
2015-05-11,molar
2017-05-31,incisor
2016-07-22,premolar
2015-12-03,canine
2017-08-31,incisor
2015-12-04,incisor
2017-03-12,molar
2015-06-27,incisor
2015-01-16,incisor
2015-06-12,premolar
2016-03-07,canine
2016-08-21,molar
2016-11-27,premolar
2017-03-04,canine
2015-07-28,premolar
2017-04-14,molar
2017-12-24,incisor
2016-06-03,incisor
2016-06-03,premolar
2015-07-12,premolar
2017-09-19,molar
2016-09-28,incisor
2015-03-05,canine
2017-11-17,incisor
2016-09-24,premolar
2017-12-02,incisor
2017-04-26,incisor
2017-06-26,incisor
2017-02-04,premolar
2017-11-01,premolar
